method;runs;iterations;runscost_min;cost_avg;cost_max;compute_min;compute_avg;compute_max
ALNS;2;300;295903.0928130061;298759.13920653367;301615.1856000612;82.62191009521484;84.86862969398499;87.11534929275513
ALNS;2;300;296799.55895264033;298985.6779017671;301171.7968508938;67.09177470207214;75.88798069953918;84.68418669700623
ALNS;2;200;296960.0604957849;297761.26539638627;298562.4702969877;50.15721273422241;57.27989935874939;64.40258598327637
ALNS;2;150;301003.88071951;302475.63392405934;303947.38712860865;18.67844843864441;24.00688397884369;29.33531951904297
ALNS;2;150;298359.3179305759;300778.12663342676;303196.93533627753;13.937402963638306;31.012770414352417;48.08813786506653
ALNS;1;150;304741.91965627455;304741.91965627455;304741.91965627455;43.748873233795166;43.748873233795166;43.748873233795166
ALNS;1;150;304593.2367949458;304593.2367949458;304593.2367949458;24.98254656791687;24.98254656791687;24.98254656791687
ALNS;1;150;301551.6636409665;301551.6636409665;301551.6636409665;31.26135492324829;31.26135492324829;31.26135492324829
ALNS;1;50;527323.2034783083;527323.2034783083;527323.2034783083;11.865717887878418;11.865717887878418;11.865717887878418
ALNS;1;50;315049.42070658755;315049.42070658755;315049.42070658755;14.600852489471436;14.600852489471436;14.600852489471436
ALNS;1;50;597971.8788588285;597971.8788588285;597971.8788588285;6.283311367034912;6.283311367034912;6.283311367034912
ALNS;1;50;291806.34589334007;291806.34589334007;291806.34589334007;12.24804139137268;12.24804139137268;12.24804139137268
ALNS;1;10;291817.3302201117;291817.3302201117;291817.3302201117;0.3888416290283203;0.3888416290283203;0.3888416290283203
ALNS;1;5;299717.23800439143;299717.23800439143;299717.23800439143;1.7780942916870117;1.7780942916870117;1.7780942916870117
ALNS;1;1;634634.3131727425;634634.3131727425;634634.3131727425;0.03531908988952637;0.03531908988952637;0.03531908988952637
ALNS;1;2;291818.0621397419;291818.0621397419;291818.0621397419;0.11056995391845703;0.11056995391845703;0.11056995391845703
ALNS;1;2;6948.83605535;6948.83605535;6948.83605535;0.0995018482208252;0.0995018482208252;0.0995018482208252
ALNS;10;2;6948.83605535;9694.938944465;24210.579158083336;0.05113959312438965;0.13404254913330077;0.30411577224731445
ALNS;10;2;7053.71283695;7669.186451250001;13084.662490166667;0.04106855392456055;0.09056239128112793;0.11650896072387695
ALNS;10;5;6913.608245216667;7036.4408061583335;7775.623868566667;0.14115405082702637;1.3664932250976562;5.617951154708862
ALNS;10;5;6944.78849655;7042.779709596667;7756.5914336;0.21233391761779785;2.4847665071487426;3.693798065185547
ALNS;10;5;6947.6273629;6974.78536321;7105.185985133333;0.20696353912353516;2.127306818962097;5.3714375495910645
ALNS_b;10;5;190004.09100275;217065.37998636998;241677.04718478333;0.663773775100708;3.7363733768463137;17.621954917907715
ALNS_b;10;50;88510.888574;149672.71835238667;194894.98290585;7.052194118499756;31.074959540367125;63.2606143951416
ALNS_b_reg;1;50;22229.444501899998;22229.444501899998;22229.444501899998;355.6720724105835;355.6720724105835;355.6720724105835
ALNS_b_gre;1;50;22279.457444033334;22279.457444033334;22279.457444033334;248.84107899665833;248.84107899665833;248.84107899665833
ALNS_b_ran;1;50;146259.9553546;146259.9553546;146259.9553546;24.44507145881653;24.44507145881653;24.44507145881653
ALNS_b_ran;1;200;67543.20028046667;67543.20028046667;67543.20028046667;66.70332670211792;66.70332670211792;66.70332670211792
ALNS_b_ran;1;200;51177.17465363333;51177.17465363333;51177.17465363333;46.21142840385437;46.21142840385437;46.21142840385437
ALNS_b_ran;1;200;27029.60381825;27029.60381825;27029.60381825;186.25768375396729;186.25768375396729;186.25768375396729
ALNS_b_ran;1;200;39367.63185105;39367.63185105;39367.63185105;167.58191680908203;167.58191680908203;167.58191680908203
ALNS_b_ran;1;200;99552.39539938333;99552.39539938333;99552.39539938333;125.34231352806091;125.34231352806091;125.34231352806091
ALNS_b_reg;1;200;22278.592043566667;22278.592043566667;22278.592043566667;254.2354221343994;254.2354221343994;254.2354221343994
ALNS_b_reg;1;100;6826.920925933334;6826.920925933334;6826.920925933334;73.68631410598755;73.68631410598755;73.68631410598755
ALNS_b_reg;1;100;6828.926017483334;6828.926017483334;6828.926017483334;142.1637089252472;142.1637089252472;142.1637089252472
ALNS_b_reg;1;10;6856.0094017833335;6856.0094017833335;6856.0094017833335;21.28748893737793;21.28748893737793;21.28748893737793
ALNS_b_reg;1;10;128000;128000.0;128000;0.2915060520172119;0.2915060520172119;0.2915060520172119
ALNS_b_reg;1;10;6972.26900135;6972.26900135;6972.26900135;0.49866509437561035;0.49866509437561035;0.49866509437561035
ALNS_b_reg;1;10;22573.900718083332;22573.900718083332;22573.900718083332;6.7710862159729;6.7710862159729;6.7710862159729
ALNS_b_reg;1;100;22116.760517;22116.760517;22116.760517;37.643648624420166;37.643648624420166;37.643648624420166
ALNS_b_reg;1;100;22466.64566775;22466.64566775;22466.64566775;74.31212735176086;74.31212735176086;74.31212735176086
ALNS_b_reg;1;100;22445.50057915;22445.50057915;22445.50057915;82.64580702781677;82.64580702781677;82.64580702781677
ALNS_b_reg;1;100;22328.350212583333;22328.350212583333;22328.350212583333;63.090083837509155;63.090083837509155;63.090083837509155
ALNS_b_reg;1;100;22348.09822615;22348.09822615;22348.09822615;22.320246934890747;22.320246934890747;22.320246934890747
ALNS_b_reg;1;100;22434.282745716668;22434.282745716668;22434.282745716668;14.38532567024231;14.38532567024231;14.38532567024231
ALNS_b_reg;1;300;22541.742052366666;22541.742052366666;22541.742052366666;18.699389934539795;18.699389934539795;18.699389934539795
ALNS_b_reg;1;300;22142.33888236667;22142.33888236667;22142.33888236667;43.45221209526062;43.45221209526062;43.45221209526062
ALNS_b_reg;1;300;22175.43482311667;22175.43482311667;22175.43482311667;67.77597403526306;67.77597403526306;67.77597403526306
ALNS_b_reg;1;300;22268.463655766667;22268.463655766667;22268.463655766667;53.98549699783325;53.98549699783325;53.98549699783325
ALNS_b_reg;1;100;22388.983929466667;22388.983929466667;22388.983929466667;11.973974704742432;11.973974704742432;11.973974704742432
ALNS_b_reg;1;100;2918294.6344733983;2918294.6344733983;2918294.6344733983;21.934170246124268;21.934170246124268;21.934170246124268
ALNS_b_reg;10;100;2770015.5590556427;3676710.9279254624;5042587.050910942;19.478180408477783;21.917288637161256;26.81231451034546
ALNS_b_reg;10;200;2825840.0372569505;3392748.017992022;3987926.182783479;35.87074947357178;41.02566413879394;46.664581060409546
ALNS_b_reg;10;300;2770699.764102775;3198461.430654833;3671700.036472471;40.784286975860596;53.24080300331116;67.31268548965454
ALNS_b_reg;10;300;2747266.6542277;3293109.0081449123;544588.8215067808;4452569.954421885;47.24531602859497;51.9345406293869;4.2453598042702225;59.6603479385376
ALNS_b_reg;10;300;311314.18614629837;323675.6977727793;8316.915538564499;336177.49068834;15.986525058746338;18.653598928451537;1.959781805006006;21.573153972625732
ALNS_b_reg;50;300;298139.9681278035;326362.0643199519;9715.35827905242;346474.4800202067;16.632654428482056;21.05956209182739;2.771438816158451;26.776233673095703
ALNS_b_reg;50;300;284102.3949276548;307033.7552983154;10233.174466483822;330458.2289263977;60.001322507858276;60.11911878108978;0.09666676273361699;60.39642858505249
ALNS_b_reg;50;300;2694603.1655344553;3300914.3766994313;444288.6622031739;4216073.863213507;60.00095868110657;60.230798711776735;0.22362992454742628;60.85754585266113
ALNS_b_reg-69;50;300;2716148.214912055;3185298.275199277;366104.85175413854;4305796.577394887;69.00603103637695;69.23898414134979;0.21358974326413502;69.83509373664856
ALNS_b_reg-69;50;300;288454.4654407469;306470.4747490957;9636.13233294652;327265.8591552382;61.30121922492981;61.39266672611237;0.07690269826232614;61.55770683288574
