iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
constructshop:False depot:True weather:False;19667.648;555.611;3695.037;78.687;257.482;2303.34;0.0;3124.0;15417.0;32756.906;6058.236;-7031.022;21.164;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
0;19667.648;555.611;3695.037;78.687;257.482;2303.34;0.0;3124.0;15417.0;32756.906;6058.236;-7031.022;9.299;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
1;19643.543;545.894;3662.648;81.514;250.369;2369.725;0.0;3027.0;15435.0;32756.906;6058.236;-7055.127;10.79;19;128;[1.0, 1.0, 1.3, 1.0, 1.0];[1.3, 1.0, 1.0]
2;19137.273;539.832;3642.441;79.68;244.429;2316.113;0.0;3027.0;14955.0;32756.906;6058.236;-7561.397;17.332;19;128;[1.0, 1.0, 1.3, 1.0, 1.3];[1.57, 1.0, 1.0]
3;19126.119;537.489;3634.63;76.728;241.855;2236.776;0.0;2948.0;14954.0;32756.906;6058.236;-7572.551;5.986;19;128;[1.0, 1.0, 1.3, 1.3, 1.3];[1.57, 1.3, 1.0]
4;19045.886;532.82;3619.066;76.728;241.162;2236.084;0.0;2948.0;14894.0;32756.906;6058.236;-7652.784;1.41;19;128;[1.0, 1.3, 1.3, 1.3, 1.3];[1.57, 1.3, 1.3]
5;19042.427;532.022;3616.406;77.3;241.814;2251.603;0.0;2948.0;14894.0;32756.906;6058.236;-7656.243;1.784;19;128;[1.0, 1.57, 1.3, 1.3, 1.3];[1.57, 1.3, 1.57]
6;18990.934;533.985;3622.949;75.705;241.87;2210.203;0.0;2948.0;14834.0;32756.906;6058.236;-7707.736;1.929;19;128;[1.0, 1.813, 1.3, 1.3, 1.3];[1.57, 1.57, 1.57]
7;18962.045;527.318;3600.727;68.253;234.082;2008.656;0.0;2948.0;14834.0;32756.906;6058.236;-7736.625;7.836;19;128;[1.0, 1.813, 1.57, 1.3, 1.3];[1.57, 1.813, 1.57]
8;18962.045;527.318;3600.727;68.253;234.082;2008.656;0.0;2948.0;14834.0;32756.906;6058.236;-7736.625;7.599;19;128;[1.0, 1.813, 1.57, 1.3, 1.3];[1.57, 1.732, 1.57]
9;18947.159;496.652;3498.507;70.175;222.62;2047.166;0.0;2929.0;14952.0;32756.906;6058.236;-7751.511;8.075;19;128;[1.0, 1.813, 1.813, 1.3, 1.3];[1.57, 1.959, 1.57]
10;18937.925;508.367;3537.558;86.869;239.325;2497.929;0.0;2870.0;14892.0;32756.906;6058.236;-7760.745;22.557;19;128;[1.0, 1.813, 1.813, 1.3, 1.57];[1.57, 2.163, 1.57]
11;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;10.247;19;128;[1.3, 1.813, 1.813, 1.3, 1.57];[1.57, 2.347, 1.57]
12;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;3.813;19;128;[1.3, 1.813, 1.813, 1.27, 1.57];[1.57, 2.347, 1.513]
13;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;12.642;19;128;[1.3, 1.732, 1.813, 1.27, 1.57];[1.57, 2.212, 1.513]
14;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;8.069;19;128;[1.3, 1.732, 1.813, 1.443, 1.57];[1.57, 2.291, 1.513]
15;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;5.002;19;128;[1.3, 1.732, 1.813, 1.443, 1.513];[1.57, 2.291, 1.462]
16;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;8.075;19;128;[1.3, 1.732, 1.813, 1.399, 1.513];[1.57, 2.162, 1.462]
17;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;2.322;19;128;[1.3, 1.859, 1.813, 1.399, 1.513];[1.57, 2.246, 1.462]
18;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;8.613;19;128;[1.3, 1.859, 1.932, 1.399, 1.513];[1.57, 2.321, 1.462]
19;18829.267;510.985;3546.282;86.869;239.898;2498.502;0.0;2752.0;14772.0;32756.906;6058.236;-7869.403;6.931;19;128;[1.3, 1.859, 1.932, 1.559, 1.513];[1.57, 2.389, 1.462]
20;18787.826;524.498;3591.328;83.092;242.082;2402.467;0.0;2673.0;14672.0;32756.906;6058.236;-7910.844;4.377;19;128;[1.3, 2.073, 1.932, 1.559, 1.513];[1.57, 2.55, 1.462]
21;18550.452;502.027;3516.425;84.013;231.796;2416.138;0.0;2534.0;14532.0;32756.906;6058.236;-8148.217;10.858;19;128;[1.3, 2.073, 2.139, 1.559, 1.513];[1.57, 2.695, 1.462]
22;18550.452;502.027;3516.425;84.013;231.796;2416.138;0.0;2534.0;14532.0;32756.906;6058.236;-8148.217;8.548;19;128;[1.3, 2.073, 2.025, 1.559, 1.513];[1.57, 2.526, 1.462]
23;18545.128;500.799;3512.329;89.165;233.897;2552.187;0.0;2534.0;14532.0;32756.906;6058.236;-8153.542;7.097;19;128;[1.3, 2.073, 2.223, 1.559, 1.513];[1.813, 2.526, 1.462]
24;18465.329;491.614;3481.715;83.428;226.918;2396.035;0.0;2495.0;14492.0;32756.906;6058.236;-8233.34;7.815;19;128;[1.57, 2.073, 2.223, 1.559, 1.513];[2.032, 2.526, 1.462]
25;18465.329;491.614;3481.715;83.428;226.918;2396.035;0.0;2495.0;14492.0;32756.906;6058.236;-8233.34;3.167;19;128;[1.57, 1.966, 2.223, 1.559, 1.513];[1.929, 2.526, 1.462]
26;18314.464;489.338;3474.126;82.842;226.757;2380.655;0.0;2495.0;14351.0;32756.906;6058.236;-8384.206;4.47;19;128;[1.57, 2.169, 2.223, 1.559, 1.513];[2.136, 2.526, 1.462]
27;18307.444;487.718;3468.726;78.163;224.955;2257.193;0.0;2495.0;14351.0;32756.906;6058.236;-8391.226;19.583;19;128;[1.57, 2.169, 2.223, 1.559, 1.762];[2.136, 2.673, 1.462]
28;18288.431;483.33;3454.101;79.859;224.03;2300.356;0.0;2495.0;14351.0;32756.906;6058.236;-8410.239;2.338;19;128;[1.57, 2.352, 2.223, 1.559, 1.762];[2.322, 2.673, 1.462]
29;18251.849;474.888;3425.961;80.25;220.868;2307.356;0.0;2495.0;14351.0;32756.906;6058.236;-8446.821;7.412;19;128;[1.813, 2.352, 2.223, 1.559, 1.762];[2.322, 2.806, 1.462]
30;18251.849;474.888;3425.961;80.25;220.868;2307.356;0.0;2495.0;14351.0;32756.906;6058.236;-8446.821;3.236;19;128;[1.813, 2.217, 2.223, 1.559, 1.762];[2.322, 2.806, 1.416]
31;18251.849;474.888;3425.961;80.25;220.868;2307.356;0.0;2495.0;14351.0;32756.906;6058.236;-8446.821;4.043;19;128;[1.813, 2.217, 2.223, 1.559, 1.686];[2.322, 2.806, 1.374]
32;18251.849;474.888;3425.961;80.25;220.868;2307.356;0.0;2495.0;14351.0;32756.906;6058.236;-8446.821;18.107;19;128;[1.813, 2.217, 2.223, 1.559, 1.617];[2.19, 2.806, 1.374]
33;18174.188;456.736;3365.452;74.577;212.238;2151.244;0.0;2594.0;14352.0;32756.906;6058.236;-8524.482;7.015;19;128;[1.813, 2.217, 2.401, 1.559, 1.617];[2.371, 2.806, 1.374]
34;18024.79;445.336;3327.454;72.095;206.817;2081.278;0.0;2495.0;14252.0;32756.906;6058.236;-8673.88;7.301;19;128;[1.813, 2.217, 2.561, 1.559, 1.617];[2.371, 2.925, 1.374]
35;18009.281;441.757;3315.524;67.808;202.809;1965.825;0.0;2495.0;14252.0;32756.906;6058.236;-8689.389;16.588;19;128;[1.813, 2.217, 2.561, 1.559, 1.855];[2.371, 3.032, 1.374]
