iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
constructshop:True depot:True weather:True;22105.649;554.301;3690.669;83.858;263.372;2443.679;3748.8;0.0;15417.0;32756.906;6058.236;-4593.021;224.546;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
0;22105.649;554.301;3690.669;83.858;263.372;2443.679;3748.8;0.0;15417.0;32756.906;6058.236;-4593.021;184.102;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
1;21788.256;524.883;3592.61;82.585;246.542;2393.763;3583.2;0.0;15277.0;32756.906;6058.236;-4910.414;126.728;19;128;[1.0, 1.0, 1.3, 1.0, 1.0];[1.3, 1.0, 1.0]
2;20868.234;513.85;3555.833;65.747;232.128;1941.552;3655.2;0.0;14857.0;32756.906;6058.236;-5830.436;182.324;19;128;[1.0, 1.0, 1.3, 1.0, 1.3];[1.57, 1.0, 1.0]
3;20615.202;504.657;3525.191;60.988;223.658;1809.354;3465.6;0.0;14776.0;32756.906;6058.236;-6083.468;82.908;19;128;[1.0, 1.0, 1.3, 1.3, 1.3];[1.57, 1.3, 1.0]
4;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;15.727;19;128;[1.0, 1.3, 1.3, 1.3, 1.3];[1.57, 1.3, 1.3]
5;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;18.598;19;128;[1.0, 1.27, 1.3, 1.3, 1.3];[1.57, 1.3, 1.27]
6;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;95.08;19;128;[1.0, 1.27, 1.3, 1.3, 1.27];[1.57, 1.27, 1.27]
7;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;64.585;19;128;[1.0, 1.27, 1.47, 1.3, 1.27];[1.713, 1.27, 1.27]
8;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;53.114;19;128;[1.0, 1.443, 1.47, 1.3, 1.27];[1.713, 1.443, 1.27]
9;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;58.699;19;128;[1.2, 1.443, 1.47, 1.3, 1.27];[1.713, 1.599, 1.27]
10;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;12.98;19;128;[1.2, 1.443, 1.47, 1.27, 1.27];[1.713, 1.599, 1.243]
11;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;47.661;19;128;[1.2, 1.443, 1.47, 1.27, 1.243];[1.642, 1.599, 1.243]
12;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;8.013;19;128;[1.2, 1.443, 1.47, 1.243, 1.243];[1.642, 1.599, 1.219]
13;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;14.545;19;128;[1.18, 1.443, 1.47, 1.243, 1.243];[1.642, 1.599, 1.197]
14;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;37.825;19;128;[1.18, 1.443, 1.47, 1.243, 1.219];[1.642, 1.539, 1.197]
15;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;27.362;19;128;[1.18, 1.443, 1.423, 1.243, 1.219];[1.578, 1.539, 1.197]
16;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;45.479;19;128;[1.18, 1.443, 1.581, 1.243, 1.219];[1.72, 1.539, 1.197]
17;20599.754;501.367;3514.224;60.988;222.467;1808.162;3465.6;0.0;14776.0;32756.906;6058.236;-6098.916;53.02;19;128;[1.18, 1.443, 1.581, 1.243, 1.197];[1.72, 1.485, 1.197]
18;20459.293;501.345;3514.151;55.031;216.98;1647.797;3441.6;0.0;14796.0;32756.906;6058.236;-6239.377;11.098;19;128;[1.18, 1.699, 1.581, 1.243, 1.197];[1.72, 1.485, 1.477]
19;20459.293;501.345;3514.151;55.031;216.98;1647.797;3441.6;0.0;14796.0;32756.906;6058.236;-6239.377;5.117;19;128;[1.18, 1.829, 1.581, 1.243, 1.197];[1.848, 1.485, 1.477]
20;20459.293;501.345;3514.151;55.031;216.98;1647.797;3441.6;0.0;14796.0;32756.906;6058.236;-6239.377;53.58;19;128;[1.18, 1.829, 1.581, 1.243, 1.177];[1.763, 1.485, 1.477]
21;20356.62;498.263;3503.878;54.763;214.64;1638.479;3514.8;0.0;14716.0;32756.906;6058.236;-6342.05;64.605;19;128;[1.462, 1.829, 1.581, 1.243, 1.177];[1.987, 1.485, 1.477]
22;20183.111;487.831;3469.104;50.031;209.37;1510.176;3514.8;0.0;14716.0;32756.906;6058.236;-6515.559;41.402;19;128;[1.462, 1.829, 1.823, 1.243, 1.177];[2.188, 1.485, 1.477]
23;20146.677;482.692;3451.973;49.611;206.131;1496.013;3514.8;0.0;14716.0;32756.906;6058.236;-6551.993;30.85;19;128;[1.462, 2.046, 1.823, 1.243, 1.177];[2.188, 1.736, 1.477]
24;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;69.265;19;128;[1.462, 2.241, 1.823, 1.243, 1.177];[2.369, 1.736, 1.477]
25;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;48.926;19;128;[1.416, 2.241, 1.823, 1.243, 1.177];[2.232, 1.736, 1.477]
26;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;20.937;19;128;[1.416, 2.117, 1.823, 1.243, 1.177];[2.232, 1.736, 1.429]
27;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;31.886;19;128;[1.416, 2.117, 1.823, 1.219, 1.177];[2.232, 1.662, 1.429]
28;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;41.357;19;128;[1.416, 2.117, 1.941, 1.219, 1.177];[2.309, 1.662, 1.429]
29;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;82.671;19;128;[1.416, 2.205, 1.941, 1.219, 1.177];[2.309, 1.796, 1.429]
30;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;48.387;19;128;[1.416, 2.285, 1.941, 1.219, 1.177];[2.378, 1.796, 1.429]
31;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;25.111;19;128;[1.416, 2.285, 2.047, 1.219, 1.177];[2.44, 1.796, 1.429]
32;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;17.553;19;128;[1.416, 2.285, 2.047, 1.219, 1.159];[2.44, 1.796, 1.386]
33;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;18.985;19;128;[1.416, 2.285, 2.047, 1.219, 1.343];[2.44, 1.796, 1.547]
34;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;71.296;19;128;[1.574, 2.285, 2.047, 1.219, 1.343];[2.44, 1.916, 1.547]
35;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;38.401;18;128;[1.574, 2.357, 2.047, 1.219, 1.343];[2.496, 1.916, 1.547]
36;20131.181;480.13;3443.434;49.611;204.735;1494.616;3514.8;0.0;14713.0;32756.906;6058.236;-6567.489;28.408;18;128;[1.574, 2.221, 2.047, 1.219, 1.343];[2.346, 1.916, 1.547]
37;20599.735;493.4;3500.335;66.642;223.315;1955.999;3324.0;0.0;14650.0;33147.002;5668.14;-6879.127;44.157;18;128;[1.574, 2.221, 2.242, 1.219, 1.343];[2.511, 1.916, 1.547]
38;20339.774;480.791;3458.303;59.15;213.786;1751.68;3324.0;0.0;14649.0;33147.002;5668.14;-7139.088;33.184;18;128;[1.574, 2.221, 2.418, 1.219, 1.343];[2.66, 1.916, 1.547]
39;20339.774;480.791;3458.303;59.15;213.786;1751.68;3324.0;0.0;14649.0;33147.002;5668.14;-7139.088;66.499;18;128;[1.574, 2.099, 2.418, 1.219, 1.343];[2.66, 1.824, 1.547]
