method;runs;iterations;local_iterations;cost_min;cost_avg;cost_max;compute_min;compute_avg;compute_max
GRASP;2;300;30;1331647.818469131;1402019.0311633248;1472390.2438575188;72.44250750541687;73.06342434883118;73.68434119224548
GRASP;2;300;30;1465154.1997103835;1508548.6259747313;1551943.052239079;71.35388708114624;71.77633571624756;72.19878435134888
GRASP;2;200;80;1181305.8834421353;1290900.954209478;1400496.024976821;55.91476321220398;56.129380226135254;56.34399724006653
GRASP;2;100;100;1286319.2956746316;1312669.9580755131;1339020.6204763944;23.637019634246826;24.019261717796326;24.401503801345825
GRASP;2;100;100;1529898.5580569012;1657174.0258489638;1784449.493641026;23.131205558776855;24.512699484825134;25.894193410873413
GRASP;2;100;120;1978476.3553615948;1999900.1209868938;2021323.8866121927;23.212944269180298;23.547046780586243;23.881149291992188
GRASP;2;100;120;1077130.294277179;1142525.358950066;1207920.4236229528;25.680212020874023;26.598616003990173;27.517019987106323
GRASP;2;100;120;1047309.0916934122;1110554.8435247554;1173800.5953560988;38.57722616195679;39.623907923698425;40.67058968544006
GRASP;2;100;100;1024129.0535743339;1128462.3413137984;1232795.629053263;34.62560510635376;35.373671889305115;36.12173867225647
GRASP;20;100;90;932163.6383223269;1148503.6812887664;1352665.5769774888;33.39378094673157;38.80967835187912;43.34425902366638
GRASP;2;100;110;787502.6947413365;936699.3096048387;1085895.924468341;36.387247800827026;37.272114753723145;38.15698170661926
GRASP;2;100;110;973520.530575557;1108323.7756502104;1243127.0207248637;37.63309168815613;38.93443298339844;40.23577427864075
GRASP;2;100;110;1082841.0664238036;1106574.7697804698;1130308.473137136;36.06397581100464;37.27963042259216;38.49528503417969
GRASP;2;100;110;1454967.4573030444;1536806.2420667415;1618645.0268304385;46.825838565826416;47.46391999721527;48.102001428604126
GRASP;2;100;130;2013078.6195709368;2100502.5316076484;2187926.44364436;45.247244358062744;49.086830377578735;52.92641639709473
GRASP;2;100;130;2045606.0205330034;2067071.2705722395;2088536.5206114755;44.81701397895813;45.02261173725128;45.228209495544434
GRASP;2;100;130;1874585.4262571181;1913137.751136417;1951690.0760157162;42.969890117645264;44.04884922504425;45.12780833244324
GRASP;2;100;110;1931383.9402659228;2022914.5681787676;2114445.1960916123;46.78850197792053;47.88271689414978;48.97693181037903
GRASP;2;200;110;1724393.5625039085;1819266.654576893;1914139.7466498772;101.97046995162964;108.95083212852478;115.93119430541992
GRASP;2;200;110;1445336.9089303669;1659558.4913756195;1873780.0738208725;88.23199677467346;88.36552834510803;88.4990599155426
GRASP;1;200;110;2001095.9131090012;2001095.9131090012;2001095.9131090012;83.35565233230591;83.35565233230591;83.35565233230591
GRASP;1;200;110;1972613.8906474465;1972613.8906474465;1972613.8906474465;91.96682906150818;91.96682906150818;91.96682906150818
GRASP;1;200;110;2074056.998215365;2074056.998215365;2074056.998215365;112.87023520469666;112.87023520469666;112.87023520469666
GRASP;1;200;110;1928816.8581883176;1928816.8581883176;1928816.8581883176;55.761783599853516;55.761783599853516;55.761783599853516
GRASP;1;200;110;1557617.2232632183;1557617.2232632183;1557617.2232632183;78.3869936466217;78.3869936466217;78.3869936466217
GRASP;1;200;110;1083298.7823647829;1083298.7823647829;1083298.7823647829;60.75605273246765;60.75605273246765;60.75605273246765
GRASP;1;200;110;504715.62403410365;504715.62403410365;504715.62403410365;67.27116894721985;67.27116894721985;67.27116894721985
GRASP;1;200;110;312532.3681600798;312532.3681600798;312532.3681600798;119.71434807777405;119.71434807777405;119.71434807777405
GRASP;1;200;110;302125.3528664506;302125.3528664506;302125.3528664506;116.96856212615967;116.96856212615967;116.96856212615967
GRASP;1;200;110;311491.94954733393;311491.94954733393;311491.94954733393;119.10826849937439;119.10826849937439;119.10826849937439
GRASP;1;200;110;294682.01479350106;294682.01479350106;294682.01479350106;106.17518830299377;106.17518830299377;106.17518830299377
GRASP;1;100;110;1940006.8376360703;1940006.8376360703;1940006.8376360703;28.609657764434814;28.609657764434814;28.609657764434814
GRASP;1;100;110;289433.210694364;289433.210694364;289433.210694364;54.42685079574585;54.42685079574585;54.42685079574585
GRASP;1;10;110;297299.6511640677;297299.6511640677;297299.6511640677;6.486818790435791;6.486818790435791;6.486818790435791
GRASP;1;10;110;6891.054645850001;6891.054645850001;6891.054645850001;6.903213977813721;6.903213977813721;6.903213977813721
GRASP;10;10;110;6868.449215666669;6890.127120946668;6909.752544533331;6.580439805984497;7.334441399574279;8.51780104637146
GRASP;10;5;5;6905.023510450001;6942.588365421667;6974.79923603333;1.1754848957061768;1.2768282175064087;1.4715402126312256
GRASP_b;10;5;5;22151.114930466665;22174.920781485;22200.04151006666;9.446874856948853;9.999494075775146;11.381109952926636
GRASP;1;50;100;22142.950131483347;22142.950131483347;22142.950131483347;177.75362968444824;177.75362968444824;177.75362968444824
GRASP;1;50;10;24191.863371183346;24191.863371183346;24191.863371183346;102.22020769119263;102.22020769119263;102.22020769119263
GRASP;1;50;10;24965.183364300006;24965.183364300006;24965.183364300006;97.44827723503113;97.44827723503113;97.44827723503113
GRASP;1;50;10;36147.05438953333;36147.05438953333;36147.05438953333;89.77986288070679;89.77986288070679;89.77986288070679
GRASP;1;50;10;7070.660900266666;7070.660900266666;7070.660900266666;10.275809049606323;10.275809049606323;10.275809049606323
GRASP;1;50;10;7178.195646866665;7178.195646866665;7178.195646866665;10.865917205810547;10.865917205810547;10.865917205810547
GRASP;1;50;10;7092.839323249999;7092.839323249999;7092.839323249999;10.761277198791504;10.761277198791504;10.761277198791504
GRASP;1;50;50;6983.534849066665;6983.534849066665;6983.534849066665;13.678071022033691;13.678071022033691;13.678071022033691
GRASP;1;50;50;6911.584845316667;6911.584845316667;6911.584845316667;17.267194986343384;17.267194986343384;17.267194986343384
GRASP;1;50;50;22359.857019049996;22359.857019049996;22359.857019049996;123.08185911178589;123.08185911178589;123.08185911178589
GRASP;1;10;10;22279.254911200005;22279.254911200005;22279.254911200005;19.207160234451294;19.207160234451294;19.207160234451294
GRASP;1;10;10;3448574.473917088;3448574.473917088;3448574.473917088;18.36807131767273;18.36807131767273;18.36807131767273
GRASP;1;10;10;3313898.265889404;3313898.265889404;3313898.265889404;21.240025997161865;21.240025997161865;21.240025997161865
GRASP;10;10;20;3249687.388983421;3667650.4888803056;4130237.1997954445;21.585904121398926;23.059065175056457;24.522955417633057
GRASP;10;100;20;3025293.7223776677;3271194.4212221927;3503324.6462265053;200.815007686615;207.80833246707917;213.33872652053833
GRASP;10;20;100;3009737.9121187073;3324186.407965781;3500406.1425328;51.00037169456482;56.959947562217714;62.2576630115509
GRASP;10;20;100;314506.11841087654;321512.026697768;330870.2073750643;11.021227359771729;11.446178102493286;12.557498693466187
GRASP;10;20;100;311408.9515042673;322061.5219044525;7287.050474972601;333539.43329675595;10.498271942138672;11.028580737113952;0.3209555501521278;11.5883629322052
GRASP;50;20;100;297238.08580600074;316379.5774529401;5639.686205999311;327084.89896694775;60.65064716339111;61.53269407749176;0.4092665619234838;62.790717124938965
GRASP;50;20;100;2838301.865819338;3291806.4623529757;239799.46535531257;3862781.9437234574;64.89951682090759;69.26137533664703;2.4214509079281896;73.63110852241516
